76,36,0.867,1.087
75,33,1.087,1.302
76,39,1.302,1.516
75,36,1.516,1.727
76,45,1.727,1.940
71,40,1.940,2.156
74,47,2.156,2.371
72,39,2.371,2.610
69,51,2.610,3.043
60,34,3.260,3.470
64,38,3.470,3.679
69,42,3.679,3.911
71,46,3.911,4.344
64,36,4.555,4.766
68,39,4.766,4.977
71,42,4.977,5.216
72,45,5.216,5.650
64,35,5.866,6.083
76,38,6.083,6.300
75,34,6.300,6.513
76,41,6.513,6.723
75,37,6.723,6.932
76,46,6.932,7.145
74,39,7.145,7.357
79,42,7.357,7.568
78,36,7.568,7.778
79,46,7.778,7.987
78,40,7.987,8.196
79,50,8.196,8.405
78,42,8.405,8.618
79,53,8.618,8.830
78,45,8.830,9.043
83,50,9.043,9.260
82,46,9.260,9.462
83,57,9.462,9.680
82,49,9.680,9.892
83,61,9.892,10.07
82,52,10.07,10.25
83,63,10.25,10.43
82,54,10.43,10.60
79,62,10.60,10.76
78,54,10.76,10.94
79,65,10.94,11.11
78,57,11.11,11.28
79,66,11.28,11.45
78,58,11.45,11.62
79,73,11.62,11.80
83,64,11.80,12.00
84,63,12.00,12.09
86,74,12.09,12.19
89,64,12.19,12.29
91,64,12.29,12.39
93,73,12.39,12.49
95,63,12.49,12.59
96,63,12.59,12.69
98,73,12.69,12.79
100,64,12.79,12.89
101,64,12.89,12.99
103,72,12.99,13.08
105,65,13.08,13.18
106,65,13.18,13.28
108,71,13.28,13.37
109,66,13.37,13.47
111,67,13.47,13.56
113,68,13.56,13.66
